name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,1.3073478373473308,1.78
2_DecisionTree,Decision Tree,logloss,1.4440599118367312,5.59
3_Linear,Linear,logloss,1.3909440536522275,3.49
4_Default_Xgboost,Xgboost,logloss,1.336721680503198,5.0
5_Default_NeuralNetwork,Neural Network,logloss,1.3217994973617737,2.99
6_Default_RandomForest,Random Forest,logloss,1.2984715917038514,6.05
Ensemble,Ensemble,logloss,1.2977520636138764,0.47
